,0
 Amish and Mennonite,60
 Argentinian,28
 Australian and New Zealander,60
 Austrian,20
 Bangladeshi,9
 Belgian,4
 Brazilian,60
 Cajun and Creole,60
 Canadian,59
 Chilean,19
 Chinese,59
 Colombian,8
 Cuban,60
 Danish,32
 Dutch,22
 Filipino,60
 Finnish,20
 French,60
 German,60
 Greek,60
 Indian,60
 Indonesian,24
 Israeli,21
 Italian,60
 Jamaican,40
 Japanese,60
 Jewish,60
 Korean,60
 Lebanese,53
 Malaysian,24
 Norwegian,25
 Pakistani,26
 Persian,58
 Peruvian,43
 Polish,60
 Portuguese,54
 Puerto Rican,59
 Russian,60
 Scandinavian,60
 Soul Food,60
 South African,16
 Southern Recipes,60
 Spanish,60
 Swedish,51
 Swiss,8
 Tex-Mex,60
 Thai,60
 Turkish,37
 Vietnamese,60
